MEMBER_ID	LOGIN_PASSWORD	REMINDER_QUESTION   	REMINDER_ANSWER	REMINDER_USE_COUNT
1	aaa	30符3飜は？	自分で数えろ	0
2	bbb	50符2飜は？	自分で数えろ	2
3	ccc	110符2飜は？	自分で数えろ	3
4	ddd	タンヤオ？	そう	12
5	eee2	ピンフ？	そう	410
6	fff	サンアンコウ？	そう	2
7	ggg3	イーペーコウ？	そう	4
8	hhh555	リャンペーコウ？	そう	9
9	iii	サンペーコウはないよね？	当たり前だ	25
10	jjj	私はイカサマしません	実はする	8
11	qwe	70符3飜は？	自分で数えろ	72
12	sdf	20符4飜は？	自分で数えろ	41
13	dfgsf	大三元は？	役満だよ	22
14	ert	タンヤオ？	そう	4
15	fhgf	ピンフ？	そう	98
16	ghj	サンアンコウ？	そう	1
17	tyuffff	サンレンコウ？	そう	0
18	jkl	イーペーコウ？	そう	0
19	ghjfff	左ハイは？	痛い	1
20	cvb	孫権は？	呉	6
